t,semblance,power,backazimuth,slowness
19636.5,0.3073717397422433,1286312038.1307693,135.0,5.656854249492381
19636.500694444443,0.4509451212241224,1492468596.9734166,154.59228189105153,4.428317965096905
19636.50138888889,0.35940728647311,1029067381.7768974,45.0,5.656854249492381
19636.502083333333,0.3034771536682293,1015700754.9670011,135.0,5.656854249492381
19636.50277777778,0.3419910279617732,2330556576.7395945,-45.0,5.656854249492381
19636.503472222223,0.3992119071367189,1339608555.6896207,-80.0737544933483,4.060788100849391
19636.504166666666,0.4419236621832322,1101690680.4265757,-135.0,5.656854249492381
19636.504861111112,0.37312260995305524,1198381175.261979,45.0,5.656854249492381
19636.505555555555,0.346130858424642,1116869894.4070184,-56.97613244420336,4.770744176750625
19636.50625,0.36800084083720397,1463246501.9804785,-45.72522429905922,5.586591089385369
19636.506944444445,0.37467389201757145,2065292697.5015194,45.0,5.656854249492381
19636.50763888889,0.30688709752252186,1479535796.8794484,45.0,5.656854249492381
19636.508333333335,0.37007757554713583,1766889278.6971729,-135.0,5.656854249492381
19636.509027777778,0.31033297054683745,3062158301.4367576,45.0,5.656854249492381
19636.50972222222,0.3579433752444036,2883988224.2388988,45.0,5.656854249492381
19636.510416666668,0.3017297481961811,3500324501.297138,135.0,5.656854249492381
19636.51111111111,0.3072221433047709,3329913278.4972672,-45.0,5.656854249492381
19636.511805555554,0.30631485245578527,2447809541.7032194,-135.0,5.656854249492381
19636.5125,0.3469299327211141,4789817103.507134,-135.0,5.656854249492381
19636.513194444444,0.2639287723430994,3266432389.6885686,45.0,5.656854249492381
19636.51388888889,0.2671676253306664,3757324155.0908027,-135.0,5.656854249492381
19636.514583333334,0.3829705982206871,3591824684.2405586,141.00900595749454,2.701851217221259
19636.515277777777,0.33357292064856237,5792273504.067219,45.0,5.656854249492381
19636.515972222223,0.36751576417532417,4818179526.710684,120.96375653207352,4.664761515876241
19636.516666666666,0.359422526915682,4029893951.4836,135.0,5.656854249492381
19636.51736111111,0.29474288584612773,3317907730.379866,-135.0,5.656854249492381
19636.518055555556,0.274250216481274,2742502237.8225408,-135.0,5.656854249492381
19636.51875,0.394575039995365,2906587381.2355494,-45.0,5.656854249492381
19636.519444444446,0.31547830116637177,2765465458.3631034,45.0,5.656854249492381
19636.52013888889,0.3824506153345673,7536384888.893175,-135.0,5.656854249492381
19636.520833333332,0.31562086192578076,3804246347.8544707,45.0,5.656854249492381
19636.52152777778,0.46472906344604076,4698672389.792693,61.18920625702694,4.565084884205331
19636.522222222222,0.3751923899128301,4365471458.7727785,-135.0,5.656854249492381
19636.522916666665,0.35737419941888665,3131424084.9718385,-135.0,5.656854249492381
19636.52361111111,0.2916431109229932,1589915787.424688,135.0,5.656854249492381
19636.524305555555,0.3374449254417932,1712827043.9120805,45.0,5.656854249492381
19636.525,0.3432441205066019,2887323631.8817353,135.0,5.656854249492381
19636.525694444445,0.33496932923349665,1796949898.0208864,-45.0,5.656854249492381
19636.526388888888,0.4004997698437867,1359951508.6313746,45.0,5.656854249492381
19636.527083333334,0.341013403236282,1197170485.2381837,45.0,5.656854249492381
19636.527777777777,0.33324760919633234,1095684093.9274411,135.0,5.656854249492381
19636.52847222222,0.36491882398401526,1503984416.348397,-45.0,5.656854249492381
19636.529166666667,0.36242953224060803,1455415011.9837751,135.0,5.656854249492381
19636.52986111111,0.3572210028116439,1408355516.8809166,-45.0,5.656854249492381
19636.530555555557,0.437706122434627,8453466144.596893,-45.0,5.656854249492381
19636.53125,0.3039633860634323,5403624748.006505,-135.0,5.656854249492381
19636.531944444443,0.36628805684163745,7645525634.72272,135.0,5.656854249492381
19636.53263888889,0.2740760659077127,4342970125.471774,135.0,5.656854249492381
19636.533333333333,0.3254533911948057,3472111714.4252224,-135.0,5.656854249492381
19636.53402777778,0.40600409297082724,4516186985.614836,135.0,5.656854249492381
19636.534722222223,0.34783321652660026,4664624650.738985,-45.0,5.656854249492381
19636.535416666666,0.343187710693873,3895404974.7573543,-45.0,5.656854249492381
19636.536111111112,0.4107409226702722,3358861393.724888,135.0,5.656854249492381
19636.536805555555,0.39931441453536737,10607240652.950539,45.0,5.656854249492381
19636.5375,0.3290108584014446,4788618109.800659,45.0,5.656854249492381
19636.538194444445,0.36457464626682234,6306327714.35643,-45.0,5.656854249492381
