t,semblance,power,backazimuth,slowness
19636.5,0.08127301861726634,572872390.4948833,-59.743562836470744,2.778488797889961
19636.500694444443,0.09035293900380303,563760521.36756,-61.55707137563667,2.7294688127912363
19636.50138888889,0.0949755457606427,604024537.5418311,-67.06789956241022,2.823118842698621
19636.502083333333,0.1005371703882986,646851013.321013,-60.75117366345302,2.8653097563788803
19636.50277777778,0.09010498727692359,688179161.3132751,-62.52556837372288,2.817800560721074
19636.503472222223,0.11334654436123,719217954.1538742,-60.75117366345302,2.8653097563788803
19636.504166666666,0.09129983717786828,589100891.0945721,-57.994616791916485,2.8301943396169813
19636.504861111112,0.08869435653185204,576058072.5411848,-62.52556837372288,2.817800560721074
19636.505555555555,0.0806429523021655,561029382.2605608,-57.994616791916485,2.8301943396169813
19636.50625,0.07814209473307138,554348035.727278,-62.52556837372288,2.817800560721074
19636.506944444445,0.08675888258489017,698989887.4069865,-62.52556837372288,2.817800560721074
19636.50763888889,0.08434144923720842,669119597.1553105,-57.994616791916485,2.8301943396169813
19636.508333333335,0.0675311026908344,519801832.82332534,-62.52556837372288,2.817800560721074
19636.509027777778,0.07702622748281182,707224840.1443835,-50.710593137499615,2.842534080710379
19636.50972222222,0.09476628941863093,708140511.9243644,-56.30993247402023,2.8844410203711917
19636.510416666668,0.09760358286673833,645095298.7400352,-49.39870535499551,2.7658633371878665
19636.51111111111,0.10748307208371477,724544691.4389573,-47.86240522611175,2.8319604517012595
19636.511805555554,0.08927355591494458,666221494.5995319,-53.53076560994816,2.860069929215019
19636.5125,0.10443787965929459,732176607.1284572,-62.52556837372288,2.817800560721074
19636.513194444444,0.07891976820704166,702154589.9217391,-63.434948822922024,2.9068883707497273
19636.51388888889,0.0934228207084188,777618348.5326778,-62.52556837372288,2.817800560721074
19636.514583333334,0.08391226651007079,636868962.4599612,-62.52556837372288,2.817800560721074
19636.515277777777,0.09685155015598894,663649970.8718156,-53.53076560994816,2.860069929215019
19636.515972222223,0.09168928384353461,634738791.748679,-65.22485943116808,2.863564212655271
19636.516666666666,0.07993693618829667,626403380.4464227,-57.994616791916485,2.8301943396169813
19636.51736111111,0.09761956363075419,650763645.4009279,-57.994616791916485,2.8301943396169813
