t,semblance,power,backazimuth,slowness
19636.5,0.8844158096673135,39104455096.381,-55.98065001017352,4.825971404805461
19636.500694444443,0.7777154755909614,3343157357.420489,135.0,5.656854249492381
19636.50138888889,0.7470978598286225,2669999552.671362,-135.0,5.656854249492381
19636.502083333333,0.743138625465868,3795293360.047558,45.0,5.656854249492381
19636.50277777778,0.763021039580509,3056067143.26497,-135.0,5.656854249492381
19636.503472222223,0.8736200160988855,6053028413.892952,-135.0,5.656854249492381
19636.504166666666,0.8786510281859907,6295816921.9542465,48.012787504183336,5.3814496188294845
19636.504861111112,0.5301960209097838,13766159760.810556,45.0,5.656854249492381
19636.505555555555,0.45337456094799644,7075172954.000573,45.0,5.656854249492381
19636.50625,0.4308177327493425,21548104022.307205,45.0,5.656854249492381
19636.506944444445,0.4042474926445068,23569415899.08368,-135.0,5.656854249492381
19636.50763888889,0.5051754368755673,20085784116.99048,-135.0,5.656854249492381
19636.508333333335,0.48623291145613734,12952431221.466583,45.0,5.656854249492381
19636.509027777778,0.4933139544369935,26803413398.24991,45.0,5.656854249492381
19636.50972222222,0.4164780389163669,20131566259.757217,45.0,5.656854249492381
19636.510416666668,0.5047331258427882,46497309998.64774,-45.0,5.656854249492381
19636.51111111111,0.26618613556396836,47353880732.79379,45.0,5.656854249492381
19636.511805555554,0.3205071504738578,52595239111.31785,-45.0,5.656854249492381
19636.5125,0.48445951552539346,58061422995.603745,45.0,5.656854249492381
19636.513194444444,0.16124350993610093,17901357028.984097,-135.0,5.656854249492381
19636.51388888889,0.5296093022386233,55039172973.96744,-135.0,5.656854249492381
19636.514583333334,0.5049120286879522,46024242183.58743,-84.28940686250036,4.019950248448356
19636.515277777777,0.3503723007886858,19006275942.054913,45.0,5.656854249492381
19636.515972222223,0.47202537715011567,28087660138.439106,45.0,5.656854249492381
19636.516666666666,0.5695395255686341,37256549486.96307,45.0,5.656854249492381
19636.51736111111,0.45716960510303656,21155162574.582104,-45.0,5.656854249492381
19636.518055555556,0.5559912892298877,47965501673.28267,-135.0,5.656854249492381
19636.51875,0.2798515786804636,15665510389.113144,45.0,5.656854249492381
19636.519444444446,0.3718891038377296,46525611102.99813,45.0,5.656854249492381
19636.52013888889,0.3180653326448876,76785756556.98294,45.0,5.656854249492381
19636.520833333332,0.34010954887083844,26720410538.51793,-135.0,5.656854249492381
19636.52152777778,0.4332773881116453,17391028578.884968,-135.0,5.656854249492381
19636.522222222222,0.5071049856769569,13064745684.073883,45.0,5.656854249492381
19636.522916666665,0.4054856689242493,14340217551.997967,45.0,5.656854249492381
19636.52361111111,0.41836394384826997,8044135651.92242,-135.0,5.656854249492381
19636.524305555555,0.6715989618548915,12263141693.847824,-153.43494882292202,4.47213595499958
19636.525,0.35891076501888597,3849710979.373304,-135.0,5.656854249492381
19636.525694444445,0.7689795277652823,14920387557.727692,146.97613244420336,4.770744176750625
19636.526388888888,0.6266874153000681,9910328606.345661,45.0,5.656854249492381
19636.527083333334,0.35211534061589517,5367333117.8200245,-135.0,5.656854249492381
19636.527777777777,0.42142515994883945,11191107519.171715,-135.0,5.656854249492381
19636.52847222222,0.44888830262198426,16303855881.12052,45.0,5.656854249492381
19636.529166666667,0.3214871769731096,15502015729.51224,-135.0,5.656854249492381
19636.52986111111,0.14117023874130813,8231772551.715429,-135.0,5.656854249492381
19636.530555555557,0.26589559784140626,19207365327.74395,-135.0,5.656854249492381
19636.53125,0.5261298510432583,71203375479.32365,45.0,5.656854249492381
19636.531944444443,0.5530271687490479,87275061979.60982,-135.0,5.656854249492381
19636.53263888889,0.34364721584838415,23429479174.803974,-135.0,5.656854249492381
19636.533333333333,0.37069586843715435,22604197389.900723,-135.0,5.656854249492381
19636.53402777778,0.5992786503146726,22424102010.638275,-135.0,5.656854249492381
19636.534722222223,0.322997183466998,6409540225.527087,45.0,5.656854249492381
19636.535416666666,0.2651762972322187,10358639098.285833,-135.0,5.656854249492381
19636.536111111112,0.33818868586470374,35088429611.78885,-135.0,5.656854249492381
19636.536805555555,0.32918320243525884,34424677815.85241,-135.0,5.656854249492381
19636.5375,0.2655292537517322,32919665754.681232,-135.0,5.656854249492381
19636.538194444445,0.42954975481298724,53533672591.38254,45.0,5.656854249492381
19636.53888888889,0.3173666361599985,53493882551.06386,-135.0,5.656854249492381
19636.539583333335,0.35049540521998823,87734419356.95865,45.0,5.656854249492381
19636.540277777778,0.4007202749543387,115581489527.20174,-135.0,5.656854249492381
19636.54097222222,0.15744003675587434,46197505116.98841,45.0,5.656854249492381
19636.541666666668,0.375009406097056,87282656897.07309,-135.0,5.656854249492381
19636.54236111111,0.30131850385433756,56108691495.234985,-135.0,5.656854249492381
19636.543055555554,0.35942880836266106,43193682131.51019,45.0,5.656854249492381
19636.54375,0.48119686618337953,139049112341.25098,-135.0,5.656854249492381
19636.544444444444,0.48156642410046124,129337010123.47829,-135.0,5.656854249492381
19636.54513888889,0.5825903996975597,47754440434.27276,-135.0,5.656854249492381
19636.545833333334,0.4915738904301044,90127034634.8135,-135.0,5.656854249492381
19636.546527777777,0.5085628859502558,53507601447.58799,-135.0,5.656854249492381
19636.547222222223,0.4383269685960845,79399886620.98631,-135.0,5.656854249492381
19636.547916666666,0.47072766939738964,53655008980.93936,45.0,5.656854249492381
19636.54861111111,0.26058894626847756,24010357166.475746,45.0,5.656854249492381
19636.549305555556,0.2578057125152114,23789807360.076412,45.0,5.656854249492381
19636.55,0.3493902663905845,86804073110.8512,-135.0,5.656854249492381
19636.550694444446,0.3449669720933579,41262824411.88393,45.0,5.656854249492381
19636.55138888889,0.23765468756448693,33821805985.677082,45.0,5.656854249492381
19636.552083333332,0.33347636789858326,23143077697.068386,45.0,5.656854249492381
19636.55277777778,0.4930453411742825,65768322015.53652,45.0,5.656854249492381
19636.553472222222,0.30217541237819706,39434404456.561554,-45.0,5.656854249492381
19636.554166666665,0.6054263662806966,63525775668.09442,-135.0,5.656854249492381
19636.55486111111,0.5714133438799597,64913534275.8769,45.0,5.656854249492381
19636.555555555555,0.36785797892052935,19399020772.1838,-135.0,5.656854249492381
19636.55625,0.32395003357216773,13579965494.762272,-45.0,5.656854249492381
19636.556944444445,0.346913530211853,29743738918.813263,45.0,5.656854249492381
19636.557638888888,0.3255908976990919,11719165719.65935,-135.0,5.656854249492381
19636.558333333334,0.3479678535701457,10144749481.398075,45.0,5.656854249492381
19636.559027777777,0.3668548437274573,9404722898.957203,-135.0,5.656854249492381
19636.55972222222,0.48915502470947514,6518882987.156377,45.0,5.656854249492381
19636.560416666667,0.4170114080296135,16838172860.281818,-135.0,5.656854249492381
19636.56111111111,0.5515444280228954,14994357864.872944,-45.0,5.656854249492381
19636.561805555557,0.3318578333764129,12868801818.65976,-135.0,5.656854249492381
19636.5625,0.3906758999151505,18232252156.31114,-45.0,5.656854249492381
19636.563194444443,0.2887216291050926,22491498104.88393,45.0,5.656854249492381
19636.56388888889,0.18983594019421818,31321594440.12469,45.0,5.656854249492381
19636.564583333333,0.44060882643440735,130862459357.58719,-135.0,5.656854249492381
19636.56527777778,0.3202631219390447,62762335629.53576,45.0,5.656854249492381
19636.565972222223,0.3608185932995843,19056989928.213978,45.0,5.656854249492381
19636.566666666666,0.5152128315655851,105446059482.7346,117.69947280805499,4.517742799230607
19636.567361111112,0.5407146597405432,74606546655.55974,-135.0,5.656854249492381
19636.568055555555,0.10716688827956394,13157294206.873745,45.0,5.656854249492381
19636.56875,0.4567618560903204,46775999526.75591,-135.0,5.656854249492381
19636.569444444445,0.4126867556781437,44450753470.387665,-135.0,5.656854249492381
19636.57013888889,0.2646319027505867,30124861803.266407,-135.0,5.656854249492381
19636.570833333335,0.46130085290527284,64260212815.20059,45.0,5.656854249492381
19636.571527777778,0.4278658407775652,134625380454.1266,-135.0,5.656854249492381
19636.57222222222,0.4652478335417752,54057093602.245865,45.0,5.656854249492381
19636.572916666668,0.4592266046898921,124232783796.89455,-135.0,5.656854249492381
19636.57361111111,0.42561789465448047,40434407688.585,-135.0,5.656854249492381
19636.574305555554,0.5428418871978166,85022995181.23802,-135.0,5.656854249492381
19636.575,0.46868850739454704,94808193030.8761,-135.0,5.656854249492381
19636.575694444444,0.401412358798854,16064976641.917421,-135.0,5.656854249492381
19636.57638888889,0.5724591896547474,68172459961.772354,50.47736872882888,5.185556864985669
19636.577083333334,0.482406301159608,59956321821.948044,45.0,5.656854249492381
19636.577777777777,0.35391577583122136,18388246541.69094,45.0,5.656854249492381
19636.578472222223,0.2751697933849691,12415741709.276608,-135.0,5.656854249492381
19636.579166666666,0.2628531565107921,31641757572.832546,-135.0,5.656854249492381
19636.57986111111,0.25157192709735754,37038958099.59739,45.0,5.656854249492381
19636.580555555556,0.5871726543371102,63565469730.34559,45.0,5.656854249492381
19636.58125,0.4311828055755847,48941344359.73793,-135.0,5.656854249492381
19636.581944444446,0.5003290001236097,26220203402.000355,-135.0,5.656854249492381
19636.58263888889,0.3684811717116111,20255693636.8134,45.0,5.656854249492381
19636.583333333332,0.29402601354629526,15681193045.712109,45.0,5.656854249492381
19636.58402777778,0.6113918483759543,74951214772.16216,-135.0,5.656854249492381
19636.584722222222,0.4930594469316976,60817514375.9889,-45.0,5.656854249492381
19636.585416666665,0.38588869487339966,57211105464.32764,45.0,5.656854249492381
19636.58611111111,0.2823716756011517,47903851741.42634,45.0,5.656854249492381
19636.586805555555,0.2884060787136117,19119665240.543266,-135.0,5.656854249492381
19636.5875,0.43178267321838315,40105378655.11756,-135.0,5.656854249492381
19636.588194444445,0.33234767491073886,33078978746.447376,45.0,5.656854249492381
19636.588888888888,0.29436773421552825,14335710866.042871,45.0,5.656854249492381
19636.589583333334,0.28371355452065156,16252523511.87264,45.0,5.656854249492381
19636.590277777777,0.16045969541363095,13183307045.84957,-135.0,5.656854249492381
19636.59097222222,0.5933057026749474,79692046946.88794,-135.0,5.656854249492381
19636.591666666667,0.33155516004336516,31351418092.41609,-135.0,5.656854249492381
19636.59236111111,0.3851401355924054,28453268958.95686,45.0,5.656854249492381
19636.593055555557,0.49448514279739353,39185312077.995926,45.0,5.656854249492381
19636.59375,0.4303068321492975,20040803835.89078,-135.0,5.656854249492381
19636.594444444443,0.35997613346791807,7126424693.54049,45.0,5.656854249492381
19636.59513888889,0.30375693021286504,12200734534.861868,45.0,5.656854249492381
19636.595833333333,0.30203921556712476,4142075623.0268774,45.0,5.656854249492381
19636.59652777778,0.45302667844735417,9261093843.217876,45.0,5.656854249492381
19636.597222222223,0.46370209952046537,6599038828.298837,45.0,5.656854249492381
19636.597916666666,0.47315090005318355,26260845917.118004,-135.0,5.656854249492381
19636.598611111112,0.4767534861914492,13455349102.44333,45.0,5.656854249492381
19636.599305555555,0.40097842621997276,16307058181.31974,45.0,5.656854249492381
19636.6,0.5933425234264317,19320089634.72104,45.0,5.656854249492381
19636.600694444445,0.666892456482652,52299340678.36193,-45.0,5.656854249492381
19636.60138888889,0.5006430796302751,14666666206.992579,45.0,5.656854249492381
19636.602083333335,0.3073325250054782,12115988261.16817,-45.0,5.656854249492381
19636.602777777778,0.5136333133425316,28613192756.82694,45.0,5.656854249492381
19636.60347222222,0.5202782923928344,36816710348.78271,-45.0,5.656854249492381
19636.604166666668,0.36512749526043115,16905017694.235683,45.0,5.656854249492381
19636.60486111111,0.39599201422335367,25582391629.120743,45.0,5.656854249492381
19636.605555555554,0.49806898357078355,20593086298.8384,-59.03624346792648,4.66476151587624
19636.60625,0.3471772785928634,13167186525.189894,-135.0,5.656854249492381
19636.606944444444,0.344839126205712,18233104218.651535,45.0,5.656854249492381
19636.60763888889,0.4850009085842042,28908459162.642506,-135.0,5.656854249492381
19636.608333333334,0.5784900097109699,24501326433.35868,-20.556045219583467,4.272001872658765
19636.609027777777,0.5197637548677512,13800270855.435413,-135.0,5.656854249492381
19636.609722222223,0.40858304861237166,8093806890.260331,-135.0,5.656854249492381
19636.610416666666,0.3837888138941429,3990859007.5635076,-88.5679038158354,4.001249804748512
19636.61111111111,0.5500946625248456,1742852457.7721705,-135.0,5.656854249492381
19636.611805555556,0.44124790727270424,8688014233.463726,-135.0,5.656854249492381
19636.6125,0.45028406886957045,4713403274.561485,-135.0,5.656854249492381
19636.613194444446,0.6256388400315122,3265678955.364844,45.0,5.656854249492381
19636.61388888889,0.6876462626796407,2970083318.616042,109.29004621918874,4.237924020083418
19636.614583333332,0.7973335913258583,1875984968.0171566,-135.0,5.656854249492381
19636.61527777778,0.8460297664316204,2136748604.3301592,45.0,5.656854249492381
19636.615972222222,0.7171648374556915,1087932546.682448,-135.0,5.656854249492381
19636.616666666665,0.8162073255922534,3002835453.9810553,45.0,5.656854249492381
19636.61736111111,0.6041244159772396,1697843875.9543679,45.0,5.656854249492381
19636.618055555555,0.8988936096336214,7022969635.37029,135.0,5.656854249492381
19636.61875,0.8090179708043249,2725849615.43511,-135.0,5.656854249492381
19636.619444444445,0.7968786706381582,3292850288.3227096,-135.0,5.656854249492381
19636.620138888888,0.7249719057196569,1699993447.918252,45.0,5.656854249492381
19636.620833333334,0.6547678117349395,1257596686.2279336,-135.0,5.656854249492381
19636.621527777777,0.6402163220157139,2039834702.7120435,45.0,5.656854249492381
19636.62222222222,0.7336819554425557,1419393824.6431177,45.0,5.656854249492381
19636.622916666667,0.9620644266325286,4047261092.0608993,-135.0,5.656854249492381
19636.62361111111,0.609000359138502,1387087444.1476252,-135.0,5.656854249492381
19636.624305555557,0.724254317820921,1237285542.0873013,-155.7722546820458,4.386342439892262
19636.625,0.7616276592617752,2008302469.1547618,-135.0,5.656854249492381
19636.625694444443,0.9574183132578522,3225824057.548811,-135.0,5.656854249492381
19636.62638888889,0.9524854575898206,1960732032.8078458,-135.0,5.656854249492381
19636.627083333333,0.6024209473118106,3484742865.668134,-135.0,5.656854249492381
19636.62777777778,0.4452127384981475,2247043310.525917,45.0,5.656854249492381
