t,semblance,power,backazimuth,slowness
19636.5,0.350070591355424,11778941913.192472,45.0,5.656854249492381
19636.500694444443,0.2900734075237853,5663699809.09877,45.0,5.656854249492381
19636.50138888889,0.2988540060230552,6547518631.3464,45.0,5.656854249492381
19636.502083333333,0.4092679930883244,5848978737.995713,45.0,5.656854249492381
19636.50277777778,0.35016642952794813,1774672488.5541663,45.0,5.656854249492381
19636.503472222223,0.4218891124732306,2350322189.297001,66.97450799147195,4.346262762420146
19636.504166666666,0.33370482730115086,1387989162.0767713,-135.0,5.656854249492381
19636.504861111112,0.3760643567434164,2013914410.8277297,45.0,5.656854249492381
19636.505555555555,0.4421970903458847,3520533880.494142,-135.0,5.656854249492381
19636.50625,0.3111104219067377,2229051691.866325,-135.0,5.656854249492381
19636.506944444445,0.33432808160896005,7501394246.615842,45.0,5.656854249492381
19636.50763888889,0.31412409390702867,4051915167.758765,45.0,5.656854249492381
19636.508333333335,0.2960654095074449,5165698630.244158,-135.0,5.656854249492381
19636.509027777778,0.3422127422919252,8800360035.753357,45.0,5.656854249492381
19636.50972222222,0.41059767056553004,8761513803.10935,-135.0,5.656854249492381
19636.510416666668,0.4002319203821363,8784835147.867481,-135.0,5.656854249492381
19636.51111111111,0.36139072201552075,9482686602.002407,45.0,5.656854249492381
19636.511805555554,0.40657221481771644,6472787898.406441,-135.0,5.656854249492381
19636.5125,0.40016298539809375,4567122425.928649,-135.0,5.656854249492381
19636.513194444444,0.3610247739668048,4504543105.752435,-135.0,5.656854249492381
19636.51388888889,0.45415716423246155,3734507284.6344523,-135.0,5.656854249492381
19636.514583333334,0.3061693289006302,3323645740.355951,-135.0,5.656854249492381
19636.515277777777,0.3307180866734193,3290904439.7318,-135.0,5.656854249492381
19636.515972222223,0.34583726778056506,9475377400.478737,-135.0,5.656854249492381
19636.516666666666,0.41799435772779875,17536820704.652164,-135.0,5.656854249492381
19636.51736111111,0.28823362830882454,9984204576.047102,45.0,5.656854249492381
19636.518055555556,0.28568259623833475,14940738765.80309,-135.0,5.656854249492381
19636.51875,0.3625401169694996,7365647329.909575,-135.0,5.656854249492381
19636.519444444446,0.40586825457683934,4746580425.019272,20.556045219583467,4.272001872658765
19636.52013888889,0.3740407963322284,3908338015.656561,-135.0,5.656854249492381
19636.520833333332,0.3830934749856647,5303947868.2079315,45.0,5.656854249492381
19636.52152777778,0.3664865984320123,4632964185.196546,-135.0,5.656854249492381
19636.522222222222,0.33218688959983345,2470107114.571892,-135.0,5.656854249492381
19636.522916666665,0.47290297711273155,2973668055.3246217,-136.4688007143858,5.517245689653489
19636.52361111111,0.4678004558156116,3723424047.6616387,-135.0,5.656854249492381
19636.524305555555,0.38311719546904144,7170398875.317141,45.0,5.656854249492381
19636.525,0.47361559350678173,8165536359.83919,-135.0,5.656854249492381
19636.525694444445,0.3794628305434845,22696237171.433304,45.0,5.656854249492381
19636.526388888888,0.26044528176842713,19287229247.235813,-135.0,5.656854249492381
19636.527083333334,0.3884143430131496,17226228070.484337,45.0,5.656854249492381
19636.527777777777,0.26139368229918764,5008294375.555334,-135.0,5.656854249492381
19636.52847222222,0.30902795689659174,9298992694.101715,-135.0,5.656854249492381
19636.529166666667,0.46639856233637517,7682049778.839473,-41.18592516570965,5.315072906367325
19636.52986111111,0.3806669158214563,3063390825.612864,45.0,5.656854249492381
19636.530555555557,0.36384638320619733,3287012299.4027157,45.0,5.656854249492381
19636.53125,0.4194146541012626,6411868214.018339,45.0,5.656854249492381
19636.531944444443,0.2422502026394346,1985138834.557306,45.0,5.656854249492381
19636.53263888889,0.3210861275437386,3370197356.31478,45.0,5.656854249492381
19636.533333333333,0.33466579219061915,4768040629.490697,45.0,5.656854249492381
19636.53402777778,0.4271807209743454,11045610913.009123,45.0,5.656854249492381
19636.534722222223,0.3961685622008508,27236313763.003914,45.0,5.656854249492381
19636.535416666666,0.35962757553102986,14489280244.5948,-135.0,5.656854249492381
19636.536111111112,0.2389428740089908,8089969456.352296,45.0,5.656854249492381
19636.536805555555,0.3315515595500935,10279752262.433353,45.0,5.656854249492381
19636.5375,0.3027437771351734,6959579637.619819,45.0,5.656854249492381
19636.538194444445,0.22035154509128935,5301579352.425613,45.0,5.656854249492381
19636.53888888889,0.34249504006402043,5657526848.946619,-135.0,5.656854249492381
19636.539583333335,0.39159498502427903,6303801120.553859,-172.8749836510982,4.031128874149275
19636.540277777778,0.3885407355986092,13854042700.507019,-135.0,5.656854249492381
19636.54097222222,0.3040885088476705,11169033383.092602,-135.0,5.656854249492381
19636.541666666668,0.35717737657541637,14625089622.244362,-135.0,5.656854249492381
19636.54236111111,0.2582655492873698,7165110878.417985,45.0,5.656854249492381
19636.543055555554,0.3150000065719638,7826841919.2469845,45.0,5.656854249492381
19636.54375,0.40091080489592257,10408181574.318083,-135.0,5.656854249492381
19636.544444444444,0.4178120930305107,11508217615.225767,45.0,5.656854249492381
19636.54513888889,0.36756520418408223,7243371662.775332,-135.0,5.656854249492381
19636.545833333334,0.34646229149236984,10837178875.553936,45.0,5.656854249492381
19636.546527777777,0.3974021683631589,11867859724.725702,45.0,5.656854249492381
19636.547222222223,0.34026236543233357,11739388979.207493,-135.0,5.656854249492381
19636.547916666666,0.387499665318671,24434137326.49111,45.0,5.656854249492381
19636.54861111111,0.25481672920762216,11194848554.854908,-135.0,5.656854249492381
19636.549305555556,0.3274605649946482,17137923324.012968,-135.0,5.656854249492381
19636.55,0.28733034156748094,10592675523.242542,-135.0,5.656854249492381
19636.550694444446,0.30203222717356804,11954067467.509192,-135.0,5.656854249492381
19636.55138888889,0.28929704056310357,13747763430.945026,-135.0,5.656854249492381
19636.552083333332,0.3021884182106774,8734074303.112558,-135.0,5.656854249492381
19636.55277777778,0.4307978628487553,13575353056.622465,-135.0,5.656854249492381
19636.553472222222,0.3414613591586814,10110344667.976425,-135.0,5.656854249492381
19636.554166666665,0.3100943124798321,10756281286.65679,-135.0,5.656854249492381
19636.55486111111,0.3717427310621836,4775755449.236159,45.0,5.656854249492381
19636.555555555555,0.4009735003641618,8303482065.971234,45.0,5.656854249492381
19636.55625,0.38100516806996904,11054936519.085453,-135.0,5.656854249492381
19636.556944444445,0.36764568348823634,12603108675.764284,-135.0,5.656854249492381
19636.557638888888,0.405668258442781,5336153176.154598,-135.0,5.656854249492381
19636.558333333334,0.38062238136493304,4715019467.546392,-135.0,5.656854249492381
19636.559027777777,0.2713593228587615,4321875338.639596,-135.0,5.656854249492381
19636.55972222222,0.37883319387100123,9614320679.240467,-135.0,5.656854249492381
19636.560416666667,0.3666091705869004,9106469074.98054,45.0,5.656854249492381
19636.56111111111,0.43439776384712764,7696365980.705747,-135.0,5.656854249492381
19636.561805555557,0.32928178585950535,3543181024.6395907,45.0,5.656854249492381
19636.5625,0.31952690269211226,5017023255.448652,-135.0,5.656854249492381
19636.563194444443,0.3923961674263123,1595847870.4538617,132.76882539196876,5.448853090330111
19636.56388888889,0.42405495498416645,1989143742.7249458,-135.0,5.656854249492381
19636.564583333333,0.44479863913647344,4157349515.2129216,-135.0,5.656854249492381
19636.56527777778,0.26085336103031387,2629872629.50018,45.0,5.656854249492381
